firstseen	lastseen	srcip	dstip	proto	sport	dport	pkts	bytes
2013-04-01 09:17:51	2013-04-01 09:17:51	10.13.77.49	172.10.0.9	6	29449	80	5	448
2013-04-01 09:18:28	2013-04-01 09:18:28	10.13.77.49	172.10.0.7	6	29666	80	5	448
2013-04-02 07:01:58	2013-04-02 07:01:58	10.13.77.49	172.10.0.9	6	1161	80	5	448
2013-04-02 07:02:47	2013-04-02 07:02:47	10.13.77.49	172.10.0.9	6	1308	80	5	448
2013-04-02 07:17:04	2013-04-02 07:17:04	10.13.77.49	172.10.0.9	6	5140	80	5	448
2013-04-02 07:29:06	2013-04-02 07:29:06	10.13.77.49	172.10.0.9	6	9279	80	5	448
2013-04-02 07:32:15	2013-04-02 07:32:15	10.13.77.49	172.20.0.6	6	9993	80	5	448
2013-04-02 07:38:19	2013-04-02 07:38:19	10.13.77.49	172.10.0.9	6	12143	80	5	448
2013-04-02 07:39:51	2013-04-02 07:39:51	10.13.77.49	172.10.0.7	6	12522	80	5	448
2013-04-02 07:41:20	2013-04-02 07:41:20	10.13.77.49	172.10.0.9	6	13060	80	5	448
2013-04-02 07:42:12	2013-04-02 07:42:12	10.13.77.49	172.20.0.6	6	13387	80	5	448
2013-04-02 07:43:17	2013-04-02 07:43:17	10.13.77.49	172.20.0.6	6	13833	80	5	448
2013-04-02 07:45:14	2013-04-02 07:45:14	10.13.77.49	172.10.0.9	6	14567	80	5	448
2013-04-02 07:46:50	2013-04-02 07:46:50	10.13.77.49	172.20.0.6	6	15152	80	5	448
2013-04-02 07:51:15	2013-04-02 07:51:15	10.13.77.49	172.10.0.7	6	16545	80	5	448
2013-04-02 08:02:02	2013-04-02 08:02:02	10.13.77.49	172.10.0.7	6	21023	80	5	448
2013-04-02 08:04:45	2013-04-02 08:04:45	10.13.77.49	172.20.0.6	6	22320	80	5	448
2013-04-02 08:05:24	2013-04-02 08:05:24	10.13.77.49	172.10.0.9	6	22557	80	5	448
2013-04-02 08:33:09	2013-04-02 08:33:09	10.13.77.49	172.10.0.7	6	33087	80	5	448
2013-04-02 08:42:06	2013-04-02 08:42:06	10.13.77.49	172.10.0.7	6	36115	80	5	448
2013-04-02 08:52:04	2013-04-02 08:52:04	10.13.77.49	172.10.0.9	6	39329	80	5	448
2013-04-02 08:53:43	2013-04-02 08:53:43	10.13.77.49	172.20.0.6	6	39703	80	5	448
2013-04-02 08:56:08	2013-04-02 08:56:08	10.13.77.49	172.10.0.9	6	40510	80	5	448
2013-04-02 09:06:51	2013-04-02 09:06:51	10.13.77.49	172.20.0.6	6	43721	80	5	448
2013-04-02 09:20:54	2013-04-02 09:20:54	10.13.77.49	172.10.0.9	6	48049	80	5	448
2013-04-02 09:24:42	2013-04-02 09:24:42	10.13.77.49	172.10.0.9	6	49053	80	5	448
2013-04-02 09:25:02	2013-04-02 09:25:02	10.13.77.49	172.20.0.6	6	49131	80	5	448
2013-04-02 09:41:06	2013-04-02 09:41:06	10.13.77.49	172.10.0.7	6	53606	80	5	448
2013-04-02 09:41:33	2013-04-02 09:41:33	10.13.77.49	172.10.0.7	6	53775	80	5	448
2013-04-02 09:44:02	2013-04-02 09:44:02	10.13.77.49	172.20.0.6	6	54509	80	5	448
2013-04-02 09:45:49	2013-04-02 09:45:49	10.13.77.49	172.20.0.6	6	54896	80	5	448
2013-04-02 10:03:12	2013-04-02 10:03:12	10.13.77.49	172.20.0.6	6	59901	80	5	448
2013-04-02 10:04:14	2013-04-02 10:04:14	10.13.77.49	172.20.0.6	6	60169	80	5	448
2013-04-02 10:07:22	2013-04-02 10:07:22	10.13.77.49	172.10.0.7	6	60962	80	5	448
2013-04-02 10:10:02	2013-04-02 10:10:02	10.13.77.49	172.10.0.7	6	61567	80	6	510
2013-04-02 10:10:30	2013-04-02 10:10:30	10.13.77.49	172.10.0.9	6	61694	80	5	448
2013-04-02 10:21:57	2013-04-02 10:21:57	10.13.77.49	172.10.0.9	6	2408	80	5	448
2013-04-02 10:22:32	2013-04-02 10:22:32	10.13.77.49	172.10.0.9	6	2507	80	5	448
2013-04-02 10:23:45	2013-04-02 10:23:45	10.13.77.49	172.20.0.6	6	2707	80	5	448
2013-04-02 10:25:03	2013-04-02 10:25:03	10.13.77.49	172.20.0.6	6	3026	80	5	448
2013-04-02 10:32:09	2013-04-02 10:32:09	10.13.77.49	172.10.0.9	6	4883	80	5	448
2013-04-02 10:45:23	2013-04-02 10:45:23	10.13.77.49	172.20.0.6	6	8798	80	5	448
2013-04-02 10:50:02	2013-04-02 10:50:02	10.13.77.49	172.20.0.6	6	10030	80	5	448
2013-04-02 10:57:45	2013-04-02 10:57:45	10.13.77.49	172.10.0.9	6	12082	80	5	448
2013-04-02 10:58:12	2013-04-02 10:58:12	10.13.77.49	172.20.0.6	6	12154	80	5	448
2013-04-02 11:03:38	2013-04-02 11:03:38	10.13.77.49	172.10.0.7	6	13503	80	5	448
2013-04-02 11:09:16	2013-04-02 11:09:16	10.13.77.49	172.10.0.9	6	14904	80	5	448
2013-04-02 11:09:54	2013-04-02 11:09:54	10.13.77.49	172.20.0.6	6	15012	80	5	448
2013-04-02 11:26:23	2013-04-02 11:26:23	10.13.77.49	172.10.0.7	6	19392	80	5	448
2013-04-02 12:29:41	2013-04-02 12:29:41	10.13.77.49	172.20.0.6	6	36735	80	5	448
2013-04-02 12:31:35	2013-04-02 12:31:35	10.13.77.49	172.10.0.9	6	37168	80	5	448
2013-04-02 12:33:07	2013-04-02 12:33:07	10.13.77.49	172.20.0.6	6	37633	80	5	448
2013-04-02 12:36:14	2013-04-02 12:36:14	10.13.77.49	172.10.0.7	6	38599	80	5	448
2013-04-02 12:37:48	2013-04-02 12:37:48	10.13.77.49	172.10.0.9	6	39170	80	5	448
2013-04-02 12:38:18	2013-04-02 12:38:18	10.13.77.49	172.20.0.6	6	39327	80	5	448
2013-04-02 12:42:51	2013-04-02 12:42:51	10.13.77.49	172.10.0.9	6	40702	80	5	448
2013-04-02 12:44:35	2013-04-02 12:44:35	10.13.77.49	172.10.0.7	6	41308	80	5	448
2013-04-02 12:46:40	2013-04-02 12:46:40	10.13.77.49	172.20.0.6	6	41813	80	5	448
2013-04-02 12:47:16	2013-04-02 12:47:16	10.13.77.49	172.20.0.6	6	41940	80	5	448
2013-04-02 12:55:54	2013-04-02 12:55:54	10.13.77.49	172.20.0.6	6	44325	80	5	448
2013-04-02 13:02:56	2013-04-02 13:02:56	10.13.77.49	172.20.0.6	6	46208	80	5	448
2013-04-02 13:03:30	2013-04-02 13:03:30	10.13.77.49	172.10.0.9	6	46330	80	5	448
2013-04-02 13:04:33	2013-04-02 13:04:33	10.13.77.49	172.10.0.7	6	46532	80	5	448
2013-04-02 13:09:59	2013-04-02 13:09:59	10.13.77.49	172.20.0.6	6	47967	80	5	448
2013-04-02 13:11:39	2013-04-02 13:11:39	10.13.77.49	172.20.0.6	6	48411	80	5	448
2013-04-02 13:12:22	2013-04-02 13:12:22	10.13.77.49	172.10.0.9	6	48559	80	5	448
2013-04-02 13:16:29	2013-04-02 13:16:29	10.13.77.49	172.10.0.9	6	49729	80	5	448
2013-04-02 13:22:01	2013-04-02 13:22:01	10.13.77.49	172.10.0.7	6	51049	80	5	448
2013-04-02 13:26:37	2013-04-02 13:26:37	10.13.77.49	172.20.0.6	6	52407	80	5	448
2013-04-02 13:30:26	2013-04-02 13:30:26	10.13.77.49	172.20.0.6	6	53578	80	5	448
2013-04-02 13:30:56	2013-04-02 13:30:56	10.13.77.49	172.20.0.6	6	53677	80	5	448
2013-04-02 13:33:24	2013-04-02 13:33:24	10.13.77.49	172.10.0.9	6	54477	80	5	448
2013-04-02 13:34:00	2013-04-02 13:34:00	10.13.77.49	172.10.0.7	6	54624	80	5	448
2013-04-02 13:44:40	2013-04-02 13:44:40	10.13.77.49	172.20.0.6	6	57288	80	5	448
2013-04-02 13:45:17	2013-04-02 13:45:17	10.13.77.49	172.10.0.7	6	57354	80	5	448
2013-04-02 13:56:12	2013-04-02 13:56:12	10.13.77.49	172.20.0.6	6	60353	80	5	448
2013-04-02 13:57:57	2013-04-02 13:57:57	10.13.77.49	172.10.0.7	6	60809	80	5	448
2013-04-02 13:58:48	2013-04-02 13:58:48	10.13.77.49	172.10.0.7	6	60960	80	5	448
2013-04-02 14:03:03	2013-04-02 14:03:03	10.13.77.49	172.20.0.6	6	62081	80	5	448
2013-04-02 14:04:06	2013-04-02 14:04:06	10.13.77.49	172.10.0.9	6	62367	80	5	448
2013-04-02 14:06:25	2013-04-02 14:06:25	10.13.77.49	172.10.0.9	6	64998	80	5	448
2013-04-02 14:07:22	2013-04-02 14:07:22	10.13.77.49	172.20.0.6	6	65265	80	5	448
2013-04-02 14:10:01	2013-04-02 14:10:01	10.13.77.49	172.20.0.6	6	1407	80	5	448
2013-04-02 14:10:35	2013-04-02 14:10:35	10.13.77.49	172.10.0.7	6	1533	80	5	448
2013-04-02 14:12:55	2013-04-02 14:12:55	10.13.77.49	172.10.0.9	6	2244	80	5	448
2013-04-02 14:22:22	2013-04-02 14:22:22	10.13.77.49	172.10.0.9	6	4751	80	5	448
2013-04-02 14:24:36	2013-04-02 14:24:36	10.13.77.49	172.20.0.6	6	5524	80	5	448
2013-04-02 14:27:35	2013-04-02 14:27:35	10.13.77.49	172.20.0.6	6	6437	80	5	448
2013-04-02 14:37:30	2013-04-02 14:37:30	10.13.77.49	172.10.0.7	6	8905	80	5	448
2013-04-02 14:38:32	2013-04-02 14:38:32	10.13.77.49	172.10.0.7	6	9220	80	5	448
2013-04-02 14:39:46	2013-04-02 14:39:46	10.13.77.49	172.10.0.7	6	9465	80	5	448
2013-04-02 14:43:09	2013-04-02 14:43:09	10.13.77.49	172.10.0.9	6	10215	80	5	448
2013-04-02 14:43:51	2013-04-02 14:43:51	10.13.77.49	172.10.0.9	6	10419	80	5	448
2013-04-02 15:02:52	2013-04-02 15:02:52	10.13.77.49	172.10.0.7	6	15951	80	5	448
2013-04-02 15:03:40	2013-04-02 15:03:40	10.13.77.49	172.10.0.9	6	16108	80	5	448
2013-04-02 15:04:15	2013-04-02 15:04:15	10.13.77.49	172.10.0.7	6	16197	80	5	448
2013-04-02 15:09:54	2013-04-02 15:09:54	10.13.77.49	172.10.0.7	6	17915	80	5	448
2013-04-02 15:15:07	2013-04-02 15:15:07	10.13.77.49	172.10.0.7	6	19283	80	5	448
2013-04-02 15:19:00	2013-04-02 15:19:00	10.13.77.49	172.10.0.9	6	20270	80	5	448
2013-04-02 15:21:11	2013-04-02 15:21:11	10.13.77.49	172.20.0.6	6	20783	80	5	448
2013-04-02 15:25:17	2013-04-02 15:25:17	10.13.77.49	172.10.0.9	6	21729	80	5	448
2013-04-02 15:26:42	2013-04-02 15:26:42	10.13.77.49	172.10.0.9	6	22022	80	5	448
2013-04-02 15:31:42	2013-04-02 15:31:42	10.13.77.49	172.20.0.6	6	23267	80	5	448
2013-04-02 15:32:48	2013-04-02 15:32:48	10.13.77.49	172.10.0.9	6	23515	80	5	448
2013-04-02 15:33:53	2013-04-02 15:33:53	10.13.77.49	172.10.0.9	6	23820	80	5	448
2013-04-02 15:34:37	2013-04-02 15:34:37	10.13.77.49	172.20.0.6	6	24038	80	5	448
2013-04-02 15:35:10	2013-04-02 15:35:10	10.13.77.49	172.20.0.6	6	24153	80	5	448
2013-04-02 15:44:50	2013-04-02 15:44:50	10.13.77.49	172.10.0.7	6	27061	80	5	448
2013-04-02 15:48:44	2013-04-02 15:48:44	10.13.77.49	172.20.0.6	6	28008	80	5	448
2013-04-02 15:54:24	2013-04-02 15:54:24	10.13.77.49	172.10.0.9	6	29429	80	5	448
2013-04-02 15:56:40	2013-04-02 15:56:40	10.13.77.49	172.10.0.7	6	30078	80	5	448
2013-04-02 16:00:57	2013-04-02 16:00:57	10.13.77.49	172.20.0.6	6	31131	80	5	448
2013-04-02 16:37:59	2013-04-02 16:37:59	10.13.77.49	172.10.0.7	6	40933	80	5	448
2013-04-02 16:41:38	2013-04-02 16:41:38	10.13.77.49	172.20.0.6	6	42084	80	5	448
2013-04-02 16:43:00	2013-04-02 16:43:00	10.13.77.49	172.10.0.7	6	42532	80	5	448
2013-04-02 16:43:48	2013-04-02 16:43:48	10.13.77.49	172.10.0.9	6	42763	80	5	448
2013-04-02 16:51:09	2013-04-02 16:51:09	10.13.77.49	172.20.0.6	6	44554	80	5	448
2013-04-02 16:56:53	2013-04-02 16:56:53	10.13.77.49	172.10.0.9	6	45860	80	5	448
2013-04-02 17:03:48	2013-04-02 17:03:48	10.13.77.49	172.10.0.9	6	47912	80	5	448
2013-04-02 17:04:40	2013-04-02 17:04:40	10.13.77.49	172.10.0.7	6	48168	80	5	448
2013-04-02 17:05:45	2013-04-02 17:05:45	10.13.77.49	172.20.0.6	6	48626	80	5	448
2013-04-02 17:07:20	2013-04-02 17:07:20	10.13.77.49	172.10.0.7	6	49055	80	5	448
2013-04-02 17:31:20	2013-04-02 17:31:20	10.13.77.49	172.10.0.9	6	55027	80	5	448
2013-04-02 17:32:53	2013-04-02 17:32:53	10.13.77.49	172.20.0.6	6	55436	80	5	448
2013-04-02 17:34:31	2013-04-02 17:34:31	10.13.77.49	172.10.0.9	6	55986	80	5	448
2013-04-02 17:36:08	2013-04-02 17:36:08	10.13.77.49	172.10.0.9	6	56608	80	5	448
2013-04-02 17:39:31	2013-04-02 17:39:31	10.13.77.49	172.10.0.7	6	57714	80	5	448
2013-04-02 17:44:15	2013-04-02 17:44:15	10.13.77.49	172.20.0.6	6	58930	80	5	448
2013-04-02 17:59:04	2013-04-02 17:59:04	10.13.77.49	172.20.0.6	6	64992	80	5	448
2013-04-02 18:10:30	2013-04-02 18:10:30	10.13.77.49	172.20.0.6	6	3257	80	5	448
2013-04-02 18:11:34	2013-04-02 18:11:34	10.13.77.49	172.20.0.6	6	3468	80	5	448
2013-04-02 18:12:40	2013-04-02 18:12:40	10.13.77.49	172.10.0.9	6	3699	80	5	448
2013-04-02 18:13:37	2013-04-02 18:13:37	10.13.77.49	172.20.0.6	6	3944	80	5	448
2013-04-02 18:19:55	2013-04-02 18:19:55	10.13.77.49	172.10.0.7	6	5868	80	5	448
2013-04-02 18:24:27	2013-04-02 18:24:27	10.13.77.49	172.10.0.7	6	7240	80	5	448
2013-04-02 18:25:35	2013-04-02 18:25:35	10.13.77.49	172.10.0.7	6	7463	80	5	448
2013-04-02 18:26:24	2013-04-02 18:26:24	10.13.77.49	172.10.0.9	6	7687	80	5	448
2013-04-02 18:49:25	2013-04-02 18:49:25	10.13.77.49	172.10.0.7	6	13761	80	5	448
2013-04-02 18:50:06	2013-04-02 18:50:06	10.13.77.49	172.20.0.6	6	13935	80	5	448
2013-04-02 18:51:53	2013-04-02 18:51:53	10.13.77.49	172.10.0.7	6	14494	80	5	448
2013-04-02 18:53:29	2013-04-02 18:53:29	10.13.77.49	172.20.0.6	6	14939	80	5	448
2013-04-02 18:58:14	2013-04-02 18:58:14	10.13.77.49	172.20.0.6	6	16276	80	5	448
2013-04-02 19:03:06	2013-04-02 19:03:06	10.13.77.49	172.10.0.7	6	17553	80	5	448
2013-04-02 19:03:30	2013-04-02 19:03:30	10.13.77.49	172.20.0.6	6	17640	80	5	448
2013-04-02 19:04:29	2013-04-02 19:04:29	10.13.77.49	172.10.0.7	6	18027	80	5	448
2013-04-02 19:14:33	2013-04-02 19:14:33	10.13.77.49	172.10.0.7	6	21435	80	5	448
2013-04-02 19:15:23	2013-04-02 19:15:23	10.13.77.49	172.10.0.7	6	21767	80	5	448
2013-04-02 19:16:14	2013-04-02 19:16:14	10.13.77.49	172.10.0.9	6	22107	80	5	448
2013-04-02 19:17:10	2013-04-02 19:17:10	10.13.77.49	172.10.0.7	6	22418	80	5	448
2013-04-02 19:17:38	2013-04-02 19:17:38	10.13.77.49	172.20.0.6	6	22611	80	5	448
2013-04-02 19:18:33	2013-04-02 19:18:33	10.13.77.49	172.10.0.7	6	22970	80	5	448
2013-04-02 19:19:43	2013-04-02 19:19:43	10.13.77.49	172.10.0.7	6	23376	80	5	448
2013-04-02 19:20:45	2013-04-02 19:20:45	10.13.77.49	172.10.0.7	6	23668	80	5	448
2013-04-02 19:25:12	2013-04-02 19:25:12	10.13.77.49	172.10.0.7	6	25130	80	5	448
2013-04-02 19:28:36	2013-04-02 19:28:36	10.13.77.49	172.10.0.7	6	26097	80	5	448
2013-04-02 19:33:52	2013-04-02 19:33:52	10.13.77.49	172.10.0.7	6	27708	80	5	448
2013-04-02 19:36:36	2013-04-02 19:36:36	10.13.77.49	172.10.0.7	6	28621	80	5	448
2013-04-02 19:36:58	2013-04-02 19:36:58	10.13.77.49	172.10.0.7	6	28771	80	5	448
2013-04-02 19:42:14	2013-04-02 19:42:14	10.13.77.49	172.20.0.6	6	30262	80	5	448
2013-04-02 19:42:58	2013-04-02 19:42:58	10.13.77.49	172.20.0.6	6	30490	80	5	448
2013-04-02 19:50:50	2013-04-02 19:50:50	10.13.77.49	172.10.0.7	6	33115	80	5	448
2013-04-02 19:51:32	2013-04-02 19:51:32	10.13.77.49	172.10.0.9	6	33301	80	5	448
2013-04-02 20:07:01	2013-04-02 20:07:01	10.13.77.49	172.20.0.6	6	38315	80	5	448
2013-04-02 20:09:41	2013-04-02 20:09:41	10.13.77.49	172.20.0.6	6	39195	80	5	448
2013-04-02 20:12:22	2013-04-02 20:12:22	10.13.77.49	172.10.0.7	6	39803	80	5	448
2013-04-02 20:13:48	2013-04-02 20:13:48	10.13.77.49	172.10.0.9	6	40256	80	5	448
2013-04-02 20:17:23	2013-04-02 20:17:23	10.13.77.49	172.10.0.7	6	41446	80	5	448
2013-04-02 20:18:20	2013-04-02 20:18:20	10.13.77.49	172.10.0.7	6	41650	80	5	448
2013-04-02 20:20:41	2013-04-02 20:20:41	10.13.77.49	172.20.0.6	6	42304	80	5	448
2013-04-02 20:22:13	2013-04-02 20:22:13	10.13.77.49	172.10.0.7	6	42668	80	5	448
2013-04-02 20:25:02	2013-04-02 20:25:02	10.13.77.49	172.10.0.7	6	43627	80	5	448
2013-04-02 20:39:08	2013-04-02 20:39:08	10.13.77.49	172.20.0.6	6	48403	80	5	448
2013-04-02 20:40:15	2013-04-02 20:40:15	10.13.77.49	172.10.0.9	6	48699	80	5	448
2013-04-02 20:46:51	2013-04-02 20:46:51	10.13.77.49	172.10.0.9	6	50761	80	5	448
2013-04-02 20:52:40	2013-04-02 20:52:40	10.13.77.49	172.10.0.7	6	52484	80	5	448
2013-04-02 20:54:10	2013-04-02 20:54:10	10.13.77.49	172.20.0.6	6	52959	80	5	448
2013-04-02 20:54:49	2013-04-02 20:54:49	10.13.77.49	172.10.0.9	6	53176	80	5	448
2013-04-02 20:57:00	2013-04-02 20:57:00	10.13.77.49	172.10.0.7	6	53748	80	5	448
2013-04-02 21:06:13	2013-04-02 21:06:13	10.13.77.49	172.10.0.7	6	56790	80	5	448
2013-04-02 21:27:13	2013-04-02 21:27:13	10.13.77.49	172.10.0.7	6	64987	80	5	448
2013-04-02 21:28:15	2013-04-02 21:28:15	10.13.77.49	172.10.0.7	6	65323	80	5	448
2013-04-02 21:32:44	2013-04-02 21:32:44	10.13.77.49	172.10.0.9	6	2231	80	5	448
2013-04-02 21:34:48	2013-04-02 21:34:48	10.13.77.49	172.10.0.7	6	2705	80	5	448
2013-04-02 21:36:29	2013-04-02 21:36:29	10.13.77.49	172.10.0.9	6	3177	80	5	448
2013-04-02 21:38:18	2013-04-02 21:38:18	10.13.77.49	172.20.0.6	6	3749	80	5	448
2013-04-02 21:39:28	2013-04-02 21:39:28	10.13.77.49	172.10.0.9	6	4168	80	5	448
2013-04-02 21:41:50	2013-04-02 21:41:50	10.13.77.49	172.10.0.7	6	4718	80	5	448
2013-04-02 21:44:09	2013-04-02 21:44:09	10.13.77.49	172.20.0.6	6	5277	80	5	448
2013-04-02 21:44:51	2013-04-02 21:44:51	10.13.77.49	172.10.0.9	6	5490	80	5	448
2013-04-02 21:46:15	2013-04-02 21:46:15	10.13.77.49	172.20.0.6	6	5861	80	5	448
2013-04-02 21:46:32	2013-04-02 21:46:32	10.13.77.49	172.10.0.7	6	5933	80	5	448
2013-04-02 21:57:37	2013-04-02 21:57:37	10.13.77.49	172.10.0.9	6	9356	80	5	448
2013-04-02 22:03:18	2013-04-02 22:03:18	10.13.77.49	172.20.0.6	6	11030	80	5	448
2013-04-02 22:04:28	2013-04-02 22:04:28	10.13.77.49	172.20.0.6	6	11274	80	5	448
2013-04-02 22:08:02	2013-04-02 22:08:02	10.13.77.49	172.20.0.6	6	11872	80	5	448
2013-04-02 22:20:04	2013-04-02 22:20:04	10.13.77.49	172.10.0.7	6	15311	80	5	448
2013-04-02 22:20:32	2013-04-02 22:20:32	10.13.77.49	172.20.0.6	6	15451	80	5	448
2013-04-02 22:36:50	2013-04-02 22:36:50	10.13.77.49	172.10.0.7	6	20242	80	5	448
2013-04-02 22:37:53	2013-04-02 22:37:53	10.13.77.49	172.10.0.7	6	20532	80	5	448
2013-04-02 22:39:11	2013-04-02 22:39:11	10.13.77.49	172.10.0.9	6	20808	80	5	448
2013-04-02 22:39:37	2013-04-02 22:39:37	10.13.77.49	172.10.0.9	6	20871	80	5	448
2013-04-02 22:41:44	2013-04-02 22:41:44	10.13.77.49	172.10.0.7	6	21411	80	5	448
2013-04-02 22:42:18	2013-04-02 22:42:18	10.13.77.49	172.20.0.6	6	21521	80	5	448
2013-04-02 22:42:59	2013-04-02 22:42:59	10.13.77.49	172.10.0.7	6	21714	80	5	448
2013-04-02 22:44:05	2013-04-02 22:44:05	10.13.77.49	172.10.0.9	6	21936	80	5	448
2013-04-02 22:44:41	2013-04-02 22:44:41	10.13.77.49	172.20.0.6	6	22061	80	5	448
2013-04-02 23:06:47	2013-04-02 23:06:47	10.13.77.49	172.20.0.6	6	27552	80	5	448
2013-04-02 23:07:16	2013-04-02 23:07:16	10.13.77.49	172.10.0.7	6	27686	80	5	448
2013-04-02 23:08:36	2013-04-02 23:08:36	10.13.77.49	172.20.0.6	6	27901	80	5	448
2013-04-02 23:10:42	2013-04-02 23:10:42	10.13.77.49	172.10.0.7	6	28463	80	5	448
2013-04-02 23:29:21	2013-04-02 23:29:21	10.13.77.49	172.10.0.7	6	33050	80	5	448
2013-04-02 23:31:17	2013-04-02 23:31:17	10.13.77.49	172.10.0.7	6	33562	80	5	448
2013-04-02 23:34:54	2013-04-02 23:34:54	10.13.77.49	172.10.0.7	6	34342	80	5	448
2013-04-02 23:39:30	2013-04-02 23:39:30	10.13.77.49	172.10.0.9	6	35231	80	5	448
2013-04-02 23:40:10	2013-04-02 23:40:10	10.13.77.49	172.10.0.9	6	35356	80	5	448
2013-04-02 23:45:19	2013-04-02 23:45:19	10.13.77.49	172.10.0.9	6	36342	80	5	448
2013-04-03 00:05:45	2013-04-03 00:05:45	10.13.77.49	172.20.0.6	6	41310	80	5	448
2013-04-03 00:06:16	2013-04-03 00:06:16	10.13.77.49	172.10.0.9	6	41416	80	5	448
2013-04-03 00:08:34	2013-04-03 00:08:34	10.13.77.49	172.20.0.6	6	41925	80	5	448
2013-04-03 00:11:46	2013-04-03 00:11:46	10.13.77.49	172.10.0.9	6	42570	80	5	448
2013-04-03 00:15:09	2013-04-03 00:15:09	10.13.77.49	172.10.0.7	6	43308	80	5	448
2013-04-03 00:15:45	2013-04-03 00:15:45	10.13.77.49	172.20.0.6	6	43400	80	5	448
2013-04-03 00:16:22	2013-04-03 00:16:22	10.13.77.49	172.10.0.9	6	43516	80	5	448
2013-04-03 00:23:01	2013-04-03 00:23:01	10.13.77.49	172.10.0.7	6	44813	80	5	448
2013-04-03 00:25:50	2013-04-03 00:25:50	10.13.77.49	172.10.0.9	6	45367	80	5	448
2013-04-03 00:26:31	2013-04-03 00:26:31	10.13.77.49	172.10.0.9	6	45499	80	5	448
2013-04-03 00:28:59	2013-04-03 00:28:59	10.13.77.49	172.20.0.6	6	46219	80	5	448
2013-04-03 00:30:37	2013-04-03 00:30:37	10.13.77.49	172.10.0.9	6	46631	80	5	448
2013-04-03 00:31:23	2013-04-03 00:31:23	10.13.77.49	172.10.0.7	6	46849	80	5	448
2013-04-03 00:32:04	2013-04-03 00:32:04	10.13.77.49	172.10.0.9	6	47030	80	5	448
2013-04-03 00:34:43	2013-04-03 00:34:43	10.13.77.49	172.20.0.6	6	47825	80	5	448
2013-04-03 00:47:03	2013-04-03 00:47:03	10.13.77.49	172.10.0.7	6	50796	80	5	448
2013-04-03 00:48:35	2013-04-03 00:48:35	10.13.77.49	172.10.0.9	6	51165	80	5	448
2013-04-03 00:49:56	2013-04-03 00:49:56	10.13.77.49	172.20.0.6	6	51422	80	5	448
2013-04-03 01:02:12	2013-04-03 01:02:12	10.13.77.49	172.20.0.6	6	54200	80	5	448
2013-04-03 01:04:34	2013-04-03 01:04:34	10.13.77.49	172.20.0.6	6	54571	80	5	448
2013-04-03 01:11:08	2013-04-03 01:11:08	10.13.77.49	172.20.0.6	6	55979	80	5	448
2013-04-03 01:23:46	2013-04-03 01:23:46	10.13.77.49	172.10.0.9	6	58978	80	5	448
2013-04-03 01:24:38	2013-04-03 01:24:38	10.13.77.49	172.20.0.6	6	59156	80	5	448
2013-04-03 01:34:14	2013-04-03 01:34:14	10.13.77.49	172.10.0.7	6	60814	80	5	448
2013-04-03 01:39:03	2013-04-03 01:39:03	10.13.77.49	172.20.0.6	6	61874	80	5	448
2013-04-03 01:40:45	2013-04-03 01:40:45	10.13.77.49	172.10.0.9	6	62112	80	5	448
