firstseen	lastseen	srcip	dstip	sport	dport	conns	maxpkts	avgpkts	maxbytes	avgbytes
2013-04-02 12:42:19	2013-04-02 12:42:19	10.199.250.2	172.10.1.140	21	3571	1	3	3.0	189	189.0
2013-04-04 08:31:02	2013-04-04 08:31:02	10.199.250.2	172.10.1.141	21	3609	1	3	3.0	189	189.0
2013-04-04 08:16:54	2013-04-04 08:16:54	10.199.250.2	172.10.1.143	21	2389	1	3	3.0	189	189.0
2013-04-05 08:15:37	2013-04-05 08:15:37	10.199.250.2	172.10.1.144	21	2022	1	2	2.0	135	135.0
2013-04-04 08:04:18	2013-04-04 08:04:18	10.199.250.2	172.10.1.146	21	3700	1	3	3.0	189	189.0
2013-04-03 09:49:53	2013-04-03 09:49:53	10.199.250.2	172.10.1.152	21	4384	1	3	3.0	189	189.0
2013-04-04 08:44:43	2013-04-04 08:44:43	10.199.250.2	172.10.1.155	21	1285	1	3	3.0	189	189.0
2013-04-06 09:23:16	2013-04-06 09:23:16	10.199.250.2	172.10.1.155	21	2986	1	3	3.0	189	189.0
2013-04-02 11:44:04	2013-04-02 11:44:04	10.199.250.2	172.10.1.155	21	3841	1	3	3.0	189	189.0
2013-04-05 07:47:18	2013-04-05 07:47:18	10.199.250.2	172.10.1.156	21	2277	1	2	2.0	135	135.0
2013-04-06 07:40:26	2013-04-06 07:40:26	10.199.250.2	172.10.1.161	21	3571	1	3	3.0	189	189.0
2013-04-01 10:38:48	2013-04-01 10:38:48	10.199.250.2	172.10.1.163	21	1820	1	3	3.0	189	189.0
2013-04-05 07:40:41	2013-04-05 07:40:41	10.199.250.2	172.10.1.165	21	2922	1	3	3.0	189	189.0
2013-04-04 08:00:19	2013-04-04 08:00:19	10.199.250.2	172.10.1.166	21	2852	1	3	3.0	189	189.0
2013-04-05 09:05:28	2013-04-05 09:05:28	10.199.250.2	172.10.1.170	21	3118	1	2	2.0	135	135.0
2013-04-04 08:19:52	2013-04-04 08:19:52	10.199.250.2	172.10.1.174	21	2136	1	3	3.0	189	189.0
2013-04-06 11:17:49	2013-04-06 11:17:49	10.199.250.2	172.10.1.175	21	2066	1	8	8.0	822	822.0
2013-04-05 08:33:24	2013-04-05 08:33:24	10.199.250.2	172.10.1.178	21	1550	1	3	3.0	189	189.0
2013-04-03 10:13:54	2013-04-03 10:13:54	10.199.250.2	172.10.1.178	17905	4624	1	22	22.0	29709	29709.0
2013-04-04 07:53:03	2013-04-04 07:53:03	10.199.250.2	172.10.1.180	21	2118	1	3	3.0	189	189.0
2013-04-04 07:40:19	2013-04-04 07:40:19	10.199.250.2	172.10.1.185	21	1642	1	3	3.0	189	189.0
2013-04-04 10:50:31	2013-04-04 10:50:31	10.199.250.2	172.10.1.187	21	2834	1	3	3.0	189	189.0
2013-04-03 10:01:03	2013-04-03 10:01:03	10.199.250.2	172.10.1.188	21	3664	1	3	3.0	189	189.0
2013-04-04 07:57:01	2013-04-04 07:57:01	10.199.250.2	172.10.1.190	21	2828	1	3	3.0	189	189.0
2013-04-06 07:37:23	2013-04-06 07:37:23	10.199.250.2	172.10.1.191	21	3559	1	3	3.0	189	189.0
2013-04-06 11:11:21	2013-04-06 11:11:21	10.199.250.2	172.10.1.195	21	2514	1	3	3.0	189	189.0
2013-04-06 09:35:38	2013-04-06 09:35:38	10.199.250.2	172.10.1.197	21	3877	1	3	3.0	189	189.0
2013-04-04 08:36:36	2013-04-04 08:36:36	10.199.250.2	172.10.1.200	21	4273	1	3	3.0	189	189.0
2013-04-02 10:13:03	2013-04-02 12:15:03	172.10.0.40	10.199.250.2	3097	21	2	20	10.5	1277	666.0
2013-04-01 15:06:27	2013-04-01 15:06:27	172.10.1.101	10.199.250.2	1087	11227	1	14	14.0	764	764.0
2013-04-01 11:21:40	2013-04-01 11:21:40	172.10.1.101	10.199.250.2	1368	5504	1	34	34.0	1844	1844.0
2013-04-01 10:46:11	2013-04-01 10:46:11	172.10.1.101	10.199.250.2	1410	4607	1	45	45.0	2438	2438.0
2013-04-01 12:45:40	2013-04-01 12:45:40	172.10.1.101	10.199.250.2	1440	7646	1	30	30.0	1628	1628.0
2013-04-03 09:33:37	2013-04-03 09:33:37	172.10.1.101	10.199.250.2	1633	16891	1	23	23.0	1250	1250.0
2013-04-03 08:03:23	2013-04-03 08:03:23	172.10.1.101	10.199.250.2	1634	14601	1	51	51.0	2762	2762.0
2013-04-05 09:02:34	2013-04-05 09:02:34	172.10.1.101	10.199.250.2	1647	26204	1	3	3.0	186	186.0
2013-04-02 13:56:05	2013-04-02 13:56:05	172.10.1.101	10.199.250.2	1712	10869	1	14	14.0	764	764.0
2013-04-03 09:10:43	2013-04-03 09:10:43	172.10.1.101	10.199.250.2	1732	16306	1	14	14.0	764	764.0
2013-04-04 10:30:11	2013-04-04 10:30:11	172.10.1.101	10.199.250.2	1820	22569	1	14	14.0	764	764.0
2013-04-06 10:34:28	2013-04-06 10:34:28	172.10.1.101	10.199.250.2	1824	31337	1	51	51.0	2918	2918.0
2013-04-02 12:23:49	2013-04-02 12:23:49	172.10.1.101	10.199.250.2	1879	8527	1	35	35.0	1898	1898.0
2013-04-02 11:41:22	2013-04-02 11:41:22	172.10.1.101	10.199.250.2	1895	7446	1	30	30.0	1628	1628.0
2013-04-02 10:54:35	2013-04-02 10:54:35	172.10.1.101	10.199.250.2	1904	6258	1	14	14.0	764	764.0
2013-04-02 10:35:33	2013-04-02 10:35:33	172.10.1.101	10.199.250.2	1951	5773	1	44	44.0	2384	2384.0
2013-04-01 10:42:19	2013-04-01 10:42:19	172.10.1.101	10.199.250.2	1989	4514	1	14	14.0	764	764.0
2013-04-06 10:15:49	2013-04-06 10:15:49	172.10.1.101	10.199.250.2	2017	30862	1	37	37.0	2030	2030.0
2013-04-03 09:02:19	2013-04-03 09:02:19	172.10.1.101	10.199.250.2	2027	16098	1	35	35.0	1898	1898.0
2013-04-03 07:54:39	2013-04-03 07:54:39	172.10.1.101	10.199.250.2	2055	14375	1	14	14.0	764	764.0
2013-04-01 14:50:46	2013-04-01 14:50:46	172.10.1.101	10.199.250.2	2060	10827	1	47	47.0	2546	2546.0
2013-04-04 08:27:54	2013-04-04 08:27:54	172.10.1.101	10.199.250.2	2101	19465	1	14	14.0	764	764.0
2013-04-07 07:45:35	2013-04-07 07:45:35	172.10.1.101	10.199.250.2	2175	33596	1	3	3.0	186	186.0
2013-04-01 10:32:52	2013-04-01 10:32:52	172.10.1.101	10.199.250.2	2176	4270	1	30	30.0	1628	1628.0
2013-04-02 14:31:09	2013-04-02 14:31:09	172.10.1.101	10.199.250.2	2281	11761	1	14	14.0	764	764.0
2013-04-01 08:39:59	2013-04-01 08:39:59	172.10.1.101	10.199.250.2	2475	1454	1	64	64.0	3464	3464.0
2013-04-07 08:20:47	2013-04-07 08:20:47	172.10.1.101	10.199.250.2	2558	34485	1	21	21.0	1214	1214.0
2013-04-04 08:07:29	2013-04-04 08:07:29	172.10.1.101	10.199.250.2	2645	18963	1	47	47.0	2842	2842.0
2013-04-02 14:42:22	2013-04-02 14:42:22	172.10.1.101	10.199.250.2	2785	12049	1	35	35.0	1898	1898.0
2013-04-01 10:29:05	2013-04-01 10:29:05	172.10.1.101	10.199.250.2	2945	4173	1	43	43.0	2330	2330.0
2013-04-02 10:39:30	2013-04-02 10:39:30	172.10.1.101	10.199.250.2	2958	5876	1	35	35.0	1898	1898.0
2013-04-03 09:52:53	2013-04-03 09:52:53	172.10.1.101	10.199.250.2	2958	17378	1	30	30.0	1628	1628.0
2013-04-04 10:49:57	2013-04-04 10:49:57	172.10.1.101	10.199.250.2	2971	23077	1	36	36.0	2156	2156.0
2013-04-01 13:40:42	2013-04-01 13:40:42	172.10.1.101	10.199.250.2	3028	9043	1	53	53.0	2870	2870.0
2013-04-04 11:14:33	2013-04-04 11:14:33	172.10.1.101	10.199.250.2	3030	23696	1	37	37.0	2126	2126.0
2013-04-04 10:15:07	2013-04-04 10:15:07	172.10.1.101	10.199.250.2	3296	22182	1	32	32.0	1796	1796.0
2013-04-01 14:20:16	2013-04-01 14:20:16	172.10.1.101	10.199.250.2	3300	10052	1	14	14.0	764	764.0
2013-04-02 13:15:24	2013-04-02 13:15:24	172.10.1.101	10.199.250.2	3306	9839	1	30	30.0	1628	1628.0
2013-04-06 09:18:02	2013-04-06 09:18:02	172.10.1.101	10.199.250.2	3407	21	1	1900	1900.0	116464	116464.0
2013-04-05 08:28:52	2013-04-05 08:28:52	172.10.1.101	10.199.250.2	3475	25606	1	59	59.0	3594	3594.0
2013-04-01 15:57:30	2013-04-01 15:57:30	172.10.1.101	10.199.250.2	3540	12521	1	14	14.0	764	764.0
2013-04-04 07:42:42	2013-04-04 07:42:42	172.10.1.101	10.199.250.2	3547	18352	1	8	8.0	464	464.0
2013-04-01 09:23:39	2013-04-01 09:23:39	172.10.1.101	10.199.250.2	3554	2511	1	35	35.0	1898	1898.0
2013-04-02 07:53:07	2013-04-02 07:53:07	172.10.1.101	10.199.250.2	3670	1651	1	33	33.0	1790	1790.0
2013-04-02 09:51:06	2013-04-02 09:51:06	172.10.1.101	10.199.250.2	3707	4644	1	36	36.0	1952	1952.0
2013-04-01 13:21:14	2013-04-01 13:21:14	172.10.1.101	10.199.250.2	3757	8548	1	35	35.0	1898	1898.0
2013-04-02 11:45:22	2013-04-02 11:45:22	172.10.1.101	10.199.250.2	3786	7550	1	31	31.0	1682	1682.0
2013-04-02 09:11:38	2013-04-02 09:11:38	172.10.1.101	10.199.250.2	3891	3638	1	37	37.0	2006	2006.0
2013-04-01 10:25:41	2013-04-01 10:25:41	172.10.1.101	10.199.250.2	3944	4083	1	30	30.0	1628	1628.0
2013-04-02 09:07:46	2013-04-02 09:07:46	172.10.1.101	10.199.250.2	4028	3540	1	43	43.0	2330	2330.0
2013-04-03 08:30:30	2013-04-03 08:30:30	172.10.1.101	10.199.250.2	4061	15288	1	34	34.0	1844	1844.0
2013-04-06 11:22:18	2013-04-06 11:22:18	172.10.1.101	10.199.250.2	4643	32526	1	41	41.0	2222	2222.0
2013-04-01 15:41:27	2013-04-01 15:41:27	172.10.1.101	10.199.250.2	4741	12109	1	36	36.0	1952	1952.0
2013-04-02 07:43:05	2013-04-02 07:43:05	172.10.1.101	10.199.250.2	4918	1429	1	56	56.0	3308	3308.0
2013-04-01 13:32:55	2013-04-01 13:32:55	172.10.1.101	10.199.250.2	4943	8844	1	14	14.0	764	764.0
2013-04-01 10:50:15	2013-04-01 10:50:15	172.10.1.102	10.199.250.2	1071	4711	1	30	30.0	1628	1628.0
2013-04-04 08:13:06	2013-04-04 08:13:06	172.10.1.102	10.199.250.2	1120	19086	1	64	64.0	3904	3904.0
2013-04-06 10:22:28	2013-04-06 10:22:28	172.10.1.102	10.199.250.2	1155	31033	1	51	51.0	2930	2930.0
2013-04-01 16:20:36	2013-04-01 16:20:36	172.10.1.102	10.199.250.2	1404	13099	1	43	43.0	2330	2330.0
2013-04-01 13:45:08	2013-04-01 13:45:08	172.10.1.102	10.199.250.2	1451	9158	1	33	33.0	1790	1790.0
2013-04-01 09:12:52	2013-04-01 09:12:52	172.10.1.102	10.199.250.2	1555	2244	1	31	31.0	1682	1682.0
2013-04-06 09:53:50	2013-04-06 09:53:50	172.10.1.102	10.199.250.2	1565	30311	1	35	35.0	1898	1898.0
2013-04-01 09:48:29	2013-04-01 09:48:29	172.10.1.102	10.199.250.2	1904	3143	1	30	30.0	1628	1628.0
2013-04-05 09:02:46	2013-04-05 09:02:46	172.10.1.102	10.199.250.2	1938	26236	1	14	14.0	764	764.0
2013-04-01 11:42:08	2013-04-01 11:42:08	172.10.1.102	10.199.250.2	2105	6029	1	14	14.0	764	764.0
2013-04-02 14:14:06	2013-04-02 14:14:06	172.10.1.102	10.199.250.2	2344	11328	1	35	35.0	1898	1898.0
2013-04-02 07:47:26	2013-04-02 07:47:26	172.10.1.102	10.199.250.2	2493	1543	1	35	35.0	2030	2030.0
2013-04-01 12:18:50	2013-04-01 12:18:50	172.10.1.102	10.199.250.2	2532	6958	1	30	30.0	1628	1628.0
2013-04-02 11:22:02	2013-04-02 11:22:02	172.10.1.102	10.199.250.2	2589	6955	1	52	52.0	2816	2816.0
2013-04-06 08:33:02	2013-04-06 08:33:02	172.10.1.102	10.199.250.2	2719	28251	1	58	58.0	3404	3404.0
2013-04-01 09:20:02	2013-04-01 09:20:02	172.10.1.102	10.199.250.2	2965	2418	1	29	29.0	1574	1574.0
2013-04-01 14:12:55	2013-04-01 14:12:55	172.10.1.102	10.199.250.2	3112	9867	1	41	41.0	2222	2222.0
2013-04-01 12:30:53	2013-04-01 12:30:53	172.10.1.102	10.199.250.2	3143	7268	1	30	30.0	1628	1628.0
2013-04-02 13:34:18	2013-04-02 13:34:18	172.10.1.102	10.199.250.2	3235	10311	1	33	33.0	1790	1790.0
2013-04-02 09:06:59	2013-04-02 09:06:59	172.10.1.102	10.199.250.2	3275	3527	1	31	31.0	1682	1682.0
2013-04-04 08:59:02	2013-04-04 08:59:02	172.10.1.102	10.199.250.2	3390	20257	1	44	44.0	2612	2612.0
2013-04-03 07:38:52	2013-04-03 07:38:52	172.10.1.102	10.199.250.2	3398	13979	1	29	29.0	1574	1574.0
2013-04-05 08:25:05	2013-04-05 08:25:05	172.10.1.102	10.199.250.2	3581	25514	1	45	45.0	2606	2606.0
2013-04-01 13:41:19	2013-04-01 13:41:19	172.10.1.102	10.199.250.2	3809	9059	1	44	44.0	2384	2384.0
2013-04-01 12:11:06	2013-04-01 12:11:06	172.10.1.102	10.199.250.2	3859	6762	1	37	37.0	2006	2006.0
2013-04-06 07:48:52	2013-04-06 07:48:52	172.10.1.102	10.199.250.2	3969	27139	1	15	15.0	818	818.0
2013-04-01 11:59:18	2013-04-01 11:59:18	172.10.1.102	10.199.250.2	4030	6465	1	14	14.0	764	764.0
2013-04-07 08:59:14	2013-04-07 08:59:14	172.10.1.102	10.199.250.2	4091	35462	1	35	35.0	1898	1898.0
2013-04-03 08:53:06	2013-04-03 08:53:06	172.10.1.102	10.199.250.2	4413	15859	1	45	45.0	2438	2438.0
2013-04-03 07:47:49	2013-04-03 07:47:49	172.10.1.102	10.199.250.2	4449	14212	1	43	43.0	2330	2330.0
2013-04-02 08:18:57	2013-04-02 08:18:57	172.10.1.102	10.199.250.2	4571	2312	1	30	30.0	1628	1628.0
2013-04-06 10:02:04	2013-04-06 10:02:04	172.10.1.102	10.199.250.2	4594	30516	1	54	54.0	2924	2924.0
2013-04-02 15:22:51	2013-04-02 15:22:51	172.10.1.102	10.199.250.2	4655	13064	1	51	51.0	2762	2762.0
2013-04-01 15:30:04	2013-04-01 15:30:04	172.10.1.102	10.199.250.2	4675	11832	1	43	43.0	2330	2330.0
2013-04-07 08:55:20	2013-04-07 08:55:20	172.10.1.102	10.199.250.2	4826	35366	1	14	14.0	764	764.0
2013-04-01 16:12:55	2013-04-01 16:12:55	172.10.1.102	10.199.250.2	4953	12907	1	41	41.0	2222	2222.0
2013-04-01 14:22:05	2013-04-01 14:22:05	172.10.1.103	10.199.250.2	1304	10096	1	14	14.0	764	764.0
2013-04-02 14:40:25	2013-04-02 14:40:25	172.10.1.103	10.199.250.2	1329	11994	1	31	31.0	1682	1682.0
2013-04-02 08:19:39	2013-04-02 08:19:39	172.10.1.103	10.199.250.2	1452	2331	1	52	52.0	2816	2816.0
2013-04-02 13:45:53	2013-04-02 13:45:53	172.10.1.103	10.199.250.2	1487	10606	1	48	48.0	2600	2600.0
2013-04-03 08:06:21	2013-04-03 08:06:21	172.10.1.103	10.199.250.2	1545	14676	1	51	51.0	2762	2762.0
2013-04-04 09:05:24	2013-04-04 09:05:24	172.10.1.103	10.199.250.2	1611	20415	1	14	14.0	764	764.0
2013-04-02 10:14:10	2013-04-02 10:14:10	172.10.1.103	10.199.250.2	1663	5231	1	14	14.0	764	764.0
2013-04-03 09:19:31	2013-04-03 09:19:31	172.10.1.103	10.199.250.2	1769	16534	1	55	55.0	2978	2978.0
2013-04-06 08:35:31	2013-04-06 08:35:31	172.10.1.103	10.199.250.2	1788	28329	1	30	30.0	1628	1628.0
2013-04-06 11:30:09	2013-04-06 11:30:09	172.10.1.103	10.199.250.2	2037	32724	1	16	16.0	884	884.0
2013-04-02 12:47:07	2013-04-02 12:47:07	172.10.1.103	10.199.250.2	2077	9119	1	30	30.0	1628	1628.0
2013-04-06 10:38:34	2013-04-06 10:38:34	172.10.1.103	10.199.250.2	2085	31434	1	40	40.0	2372	2372.0
2013-04-01 15:01:50	2013-04-01 15:01:50	172.10.1.103	10.199.250.2	2119	11102	1	14	14.0	764	764.0
2013-04-06 08:56:36	2013-04-06 08:56:36	172.10.1.103	10.199.250.2	2185	28856	1	30	30.0	1628	1628.0
2013-04-06 11:13:42	2013-04-06 11:13:42	172.10.1.103	10.199.250.2	2350	32327	1	17	17.0	950	950.0
2013-04-02 12:50:31	2013-04-02 12:50:31	172.10.1.103	10.199.250.2	2449	9206	1	46	46.0	2492	2492.0
2013-04-02 09:49:42	2013-04-02 09:49:42	172.10.1.103	10.199.250.2	2591	4615	1	34	34.0	1844	1844.0
2013-04-04 11:17:38	2013-04-04 11:17:38	172.10.1.103	10.199.250.2	2653	23771	1	51	51.0	3182	3182.0
2013-04-01 12:04:29	2013-04-01 12:04:29	172.10.1.103	10.199.250.2	2912	6598	1	30	30.0	1628	1628.0
2013-04-06 09:37:05	2013-04-06 09:37:05	172.10.1.103	10.199.250.2	3370	29876	1	30	30.0	1628	1628.0
2013-04-02 11:04:47	2013-04-02 11:04:47	172.10.1.103	10.199.250.2	3531	6516	1	29	29.0	1574	1574.0
2013-04-05 07:57:34	2013-04-05 07:59:34	172.10.1.103	10.199.250.2	3592	24866	2	29	15.0	1574	814.0
2013-04-01 14:58:18	2013-04-01 14:58:18	172.10.1.103	10.199.250.2	3598	11018	1	41	41.0	2222	2222.0
2013-04-01 11:30:20	2013-04-01 11:30:20	172.10.1.103	10.199.250.2	3787	5726	1	30	30.0	1628	1628.0
2013-04-05 07:26:30	2013-04-05 07:26:30	172.10.1.103	10.199.250.2	3790	24038	1	16	16.0	908	908.0
2013-04-01 10:39:28	2013-04-01 10:39:28	172.10.1.103	10.199.250.2	3791	4450	1	43	43.0	2330	2330.0
2013-04-04 09:25:52	2013-04-04 09:25:52	172.10.1.103	10.199.250.2	3963	20934	1	14	14.0	764	764.0
2013-04-01 13:10:13	2013-04-01 13:10:13	172.10.1.103	10.199.250.2	3977	8269	1	35	35.0	1898	1898.0
2013-04-01 13:26:58	2013-04-01 13:26:58	172.10.1.103	10.199.250.2	3988	8693	1	33	33.0	1790	1790.0
2013-04-02 11:53:46	2013-04-02 11:53:46	172.10.1.103	10.199.250.2	4204	7757	1	31	31.0	1682	1682.0
2013-04-04 09:21:47	2013-04-04 09:21:47	172.10.1.103	10.199.250.2	4210	20828	1	35	35.0	1898	1898.0
2013-04-02 14:16:58	2013-04-02 14:16:58	172.10.1.103	10.199.250.2	4370	11404	1	56	56.0	3032	3032.0
2013-04-02 15:15:32	2013-04-02 15:15:32	172.10.1.103	10.199.250.2	4531	12884	1	42	42.0	2276	2276.0
2013-04-04 08:37:23	2013-04-04 08:37:23	172.10.1.103	10.199.250.2	4560	19716	1	44	44.0	2576	2576.0
2013-04-02 12:58:42	2013-04-02 12:58:42	172.10.1.103	10.199.250.2	4587	9411	1	29	29.0	1574	1574.0
2013-04-02 09:28:45	2013-04-02 09:28:45	172.10.1.103	10.199.250.2	4635	4080	1	14	14.0	764	764.0
2013-04-06 10:14:30	2013-04-06 10:14:30	172.10.1.103	10.199.250.2	4641	30831	1	32	32.0	1736	1736.0
2013-04-02 08:50:58	2013-04-02 08:50:58	172.10.1.103	10.199.250.2	4897	3122	1	38	38.0	2060	2060.0
2013-04-06 09:08:36	2013-04-06 09:08:36	172.10.1.103	10.199.250.2	4902	29157	1	46	46.0	2732	2732.0
2013-04-04 11:09:26	2013-04-04 11:09:26	172.10.1.103	10.199.250.2	4970	23566	1	38	38.0	2276	2276.0
2013-04-07 07:58:38	2013-04-07 07:58:38	172.10.1.104	10.199.250.2	1172	33933	1	3	3.0	186	186.0
2013-04-06 10:30:09	2013-04-06 10:30:09	172.10.1.104	10.199.250.2	1243	31228	1	14	14.0	764	764.0
2013-04-01 12:40:11	2013-04-01 12:40:11	172.10.1.104	10.199.250.2	1245	7505	1	50	50.0	2708	2708.0
2013-04-02 13:32:26	2013-04-02 13:32:26	172.10.1.104	10.199.250.2	1365	10274	1	32	32.0	1736	1736.0
2013-04-06 10:07:06	2013-04-06 10:07:06	172.10.1.104	10.199.250.2	1387	30643	1	48	48.0	2600	2600.0
2013-04-04 10:55:38	2013-04-04 10:55:38	172.10.1.104	10.199.250.2	1399	23215	1	61	61.0	3750	3750.0
2013-04-01 15:37:03	2013-04-01 15:37:03	172.10.1.104	10.199.250.2	1452	12005	1	33	33.0	1790	1790.0
2013-04-01 09:55:12	2013-04-01 09:55:12	172.10.1.104	10.199.250.2	1528	3313	1	29	29.0	1574	1574.0
2013-04-06 10:03:15	2013-04-06 10:03:15	172.10.1.104	10.199.250.2	1603	30544	1	31	31.0	1730	1730.0
2013-04-01 12:59:01	2013-04-01 12:59:01	172.10.1.104	10.199.250.2	1689	7988	1	39	39.0	2114	2114.0
2013-04-06 11:20:47	2013-04-06 11:20:47	172.10.1.104	10.199.250.2	1730	21	1	15	15.0	882	882.0
2013-04-01 12:32:29	2013-04-01 12:32:29	172.10.1.104	10.199.250.2	1774	7306	1	30	30.0	1628	1628.0
2013-04-03 08:50:31	2013-04-03 08:50:31	172.10.1.104	10.199.250.2	1887	15800	1	14	14.0	764	764.0
2013-04-01 12:51:19	2013-04-01 12:51:19	172.10.1.104	10.199.250.2	1918	7792	1	14	14.0	764	764.0
2013-04-02 07:54:42	2013-04-02 07:54:42	172.10.1.104	10.199.250.2	2066	1701	1	43	43.0	2330	2330.0
2013-04-01 13:58:02	2013-04-01 13:58:02	172.10.1.104	10.199.250.2	2087	9483	1	37	37.0	2006	2006.0
2013-04-01 12:09:43	2013-04-01 12:09:43	172.10.1.104	10.199.250.2	2135	6726	1	14	14.0	764	764.0
2013-04-02 08:26:40	2013-04-02 08:26:40	172.10.1.104	10.199.250.2	2182	2506	1	48	48.0	2600	2600.0
2013-04-03 09:02:30	2013-04-03 09:02:30	172.10.1.104	10.199.250.2	2239	16102	1	47	47.0	2546	2546.0
2013-04-01 10:03:38	2013-04-01 10:03:38	172.10.1.104	10.199.250.2	2378	3531	1	14	14.0	764	764.0
2013-04-06 11:26:41	2013-04-06 11:26:41	172.10.1.104	10.199.250.2	2522	21	1	274	274.0	16737	16737.0
2013-04-02 10:39:08	2013-04-02 10:39:08	172.10.1.104	10.199.250.2	2555	5865	1	32	32.0	1736	1736.0
2013-04-01 10:16:02	2013-04-01 10:16:02	172.10.1.104	10.199.250.2	2663	3849	1	33	33.0	1790	1790.0
2013-04-06 09:25:18	2013-04-06 09:25:18	172.10.1.104	10.199.250.2	2683	29590	1	14	14.0	764	764.0
2013-04-06 07:34:54	2013-04-06 07:34:54	172.10.1.104	10.199.250.2	2806	26785	1	16	16.0	896	896.0
2013-04-02 14:03:11	2013-04-02 14:03:11	172.10.1.104	10.199.250.2	2950	11044	1	34	34.0	1844	1844.0
2013-04-03 07:55:20	2013-04-03 07:55:20	172.10.1.104	10.199.250.2	2980	14407	1	14	14.0	764	764.0
2013-04-02 12:57:31	2013-04-02 12:57:31	172.10.1.104	10.199.250.2	2986	9379	1	14	14.0	764	764.0
2013-04-06 10:42:59	2013-04-06 10:42:59	172.10.1.104	10.199.250.2	3036	31544	1	44	44.0	2396	2396.0
2013-04-04 10:39:23	2013-04-04 10:39:23	172.10.1.104	10.199.250.2	3092	22806	1	52	52.0	2996	2996.0
2013-04-02 12:05:59	2013-04-02 12:05:59	172.10.1.104	10.199.250.2	3105	8075	1	14	14.0	764	764.0
2013-04-07 07:46:30	2013-04-07 07:46:30	172.10.1.104	10.199.250.2	3154	33646	1	14	14.0	764	764.0
2013-04-05 07:47:23	2013-04-05 07:47:23	172.10.1.104	10.199.250.2	3194	24612	1	68	68.0	4096	4096.0
2013-04-01 12:44:12	2013-04-01 12:44:12	172.10.1.104	10.199.250.2	3240	7607	1	56	56.0	3032	3032.0
2013-04-01 14:57:55	2013-04-01 14:57:55	172.10.1.104	10.199.250.2	3367	11005	1	14	14.0	764	764.0
2013-04-03 08:07:36	2013-04-03 08:07:36	172.10.1.104	10.199.250.2	3371	14706	1	38	38.0	2060	2060.0
2013-04-01 11:26:41	2013-04-01 11:26:41	172.10.1.104	10.199.250.2	3504	5633	1	30	30.0	1628	1628.0
2013-04-02 13:44:02	2013-04-02 13:44:02	172.10.1.104	10.199.250.2	3776	10566	1	39	39.0	2114	2114.0
2013-04-02 11:37:24	2013-04-02 11:37:24	172.10.1.104	10.199.250.2	3940	7345	1	30	30.0	1628	1628.0
2013-04-10 07:34:55	2013-04-10 07:34:55	172.10.1.104	10.199.250.2	4152	47213	1	46	46.0	2492	2492.0
2013-04-02 12:17:19	2013-04-02 12:17:19	172.10.1.104	10.199.250.2	4191	8366	1	30	30.0	1628	1628.0
2013-04-05 08:53:30	2013-04-05 08:53:30	172.10.1.104	10.199.250.2	4459	25960	1	35	35.0	2042	2042.0
2013-04-05 08:53:33	2013-04-05 08:53:33	172.10.1.104	10.199.250.2	4512	25964	1	14	14.0	764	764.0
